"Notes","Exclude","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","WorkerID","AgreeParticipate","CollTeachThoughts","SculptorRating","SculptorExplain","sculptor_effortlackof","sculptor_effortany","sculptor_sdllackof","sculptor_sdlany","sculptor_pglackof","sculptor_pgany","sculptor_enjoylow","sculptor_enjoyhigh","sculptor_feedbacklackof","sculptor_feedbackany","sculptor_carelackof","sculptor_careany","sculptor_infllackof","sculptor_inflany","sculptor_admirelackof","sculptor_admireany","GardenerRating","GardenerExplain","gardener_effortlackof","gardener_effortany","gardener_sdllackof","gardener_sdlany","gardener_pglackof","gardener_pgany","gardener_enjoylow","gardener_enjoyhigh","gardener_feedbacklackof","gardener_feedbackany","gardener_carelackof","gardener_careany","gardener_infllackof","gardener_inflany","gardener_admirelackof","gardener_admireany","CoachRating","CoachExplain","coach_effortlackof","coach_effortany","coach_sdllackof","coach_sdlany","coach_pglackof","coach_pgany","coach_enjoylow","coach_enjoyhigh","coach_feedbacklackof","coach_feedbackany","coach_carelackof","coach_careany","coach_infllackof","coach_inflany","coach_admirelackof","coach_admireany","AppStoreRating","AppStoreExplain","app_effortlackof","app_effortany","app_sdllackof","app_sdlany","app_pglackof","app_pgany","app_enjoylow","app_enjoyhigh","app_feedbacklackof","app_feedbackany","app_carelackof","app_careany","app_infllackof","app_inflany","app_admirelackof","app_admireany","TourGuideRating","TourGuideExplain","tg_effortlackof","tg_effortany","tg_sdllackof","tg_sdlany","tg_pglackof","tg_pgany","tg_enjoylow","tg_enjoyhigh","tg_feedbacklackof","tg_feedbackany","tg_carelackof","tg_careany","tg_infllackof","tg_inflany","tg_admirelackof","tg_admireany","CaptainRating","CaptainExplain","captain_effortlackof","captain_effortany","captain_sdllackof","captain_sdlany","captain_pglackof","captain_pgany","captain_enjoylow","captain_enjoyhigh","captain_feedbacklackof","captain_feedbackany","captain_carelackof","captain_careany","captain_infllackof","captain_inflany","captain_admirelackof","captain_admireany","PersonalMetRank","PersonalMetRank_8_TEXT","PersonalMetExplain","Gender","Gender_5_TEXT","AttentionCheck","RaceEthnicity","RaceEthnicity_7_TEXT","CollegeYesNo","CollegeLongAgo","field","EducationLevel","TeachExp","ExperienceFree","Age_1","Political","LibCons_1","Issues","Comments","mTurkCode","filter_$","recentcollege","sculptmetrat","gardmetrat","coachmetrat","appmetrate","tourmetrate","captmetrate","INC_metaphoricality"
,,"6/20/18 20:35","6/20/18 20:48",0.0,"73.89.151.236",100.0,800.0,1.0,"6/20/18 20:48","R_1mtkI4CBueM6ydi",,,,,42.85020447,-71.51550293,"anonymous","EN","A2LC2DS8OH7NCA",1.0,"College teachers tend to be motivated primarily by concerns other than teaching students. Lectures are a necessary evil in order to work on their own projects. The more work that they can dump on a TA the better.",2.0,"Disagree. Again in this situation, the students are passive. Good students are active learners. Good teachers provide back and forth with students. The students should mold the teacher as well.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"Somewhat agree in the sense that a good teacher can plant the seeds of new ideas in a new student and help weed out the bad ideas that might hold them back.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,"Somewhat agree in the sense that a coach provides the plan of attack and helps athletes focus on their strengths and discard bad habits in pursuit of their goal.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"Disagree. Students can't really pick and choose what information they extract from the teacher. A good student is not just a consumer of information.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"Disagree. Tourists are passive consumers of shallow content learning just what's on the placard or the blurbs of a tour guide. A good teacher takes students deeper into the subject matter.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,"Disagree. A good student must be an autonomous thinker and not just someone who follows the order and thinking of the teacher. A sailor would not challenge his captain, but a good student will challenge his or her teacher.",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,,"it comes closest to the idea that the teacher pushes students in the right direction, but that the students are ultimately responsible for their own growth. The teacher helps guide their growth much like a gardener tends his plants.",1.0,,1.0,1.0,,3.0,6.0,"Physics",3.0,2.0,,43.0,3.0,80.0,"no","You require too much writing for the compensation provided.","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM31480350262</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0
,,"6/21/18 1:06","6/21/18 1:21",0.0,"68.133.18.233",92.0,928.0,0.0,"6/22/18 9:11","R_1n0X0fxWbXZN82E",,,,,,,"anonymous","EN","AVZOGPWNTUPC4",1.0,"I think about me because I'm a university lecturer. I think about mentoring students and opening minds.",4.0,"I wouldn't say clay. I would say students are like wood. They are rough and unformed, but are solid. They have strong, but undefined form.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The parents are the gardners. Teachers are the florist or the cook.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"This is getting closer. A coach imparts wisdom and keeps the team on track. That's a lot of what teaching is.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"no. nope. nada. ney. niente. zilch. non. no no no no no no no",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"I would use the term ""traveler."" A tourist doesn't get beyond the surface.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"This is so totally wrong. The students don't work under the teacher.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,"This is the closest. It still lacks nuance. A teacher imparts wisdom and pushes students towards a goal. However, a teacher (in the humanities --- me) gives the student the tools necessary to run their own race, in their own way.",2.0,,1.0,1.0,,1.0,6.0,"art history",6.0,1.0,"university lecturer",43.0,1.0,0.0,"nope","nope",,1.0,0.0,4.0,3.0,3.0,,2.0,1.0,0.0
,,"6/20/18 20:07","6/20/18 20:15",0.0,"108.22.202.7",100.0,469.0,1.0,"6/20/18 20:15","R_1NsoD2n3LcwkIMd",,,,,39.62910461,-77.71279907,"anonymous","EN","A27O2IILV3S5YS",1.0,"I think they have a valuable role to play in educating children. They can help prepare them for life and their careers",4.0,"in a way yes. you sculpt their learning",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"yes, they teach and nurture students minds",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"they can nurture athletic ability like they can a mind but kind of different as well",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"I think it's a silly comparison. smartphone users choose their apps, i don't recall students picking their teachers",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"in a way. i think it depends on the subject",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"they represent an order. the captain leads the shiip",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,"because gardeners nurture plants to survive and grow as do teachers. my teachers nurtured our minds, helped us along to understand the material",2.0,,3.0,1.0,,1.0,5.0,"computer science",5.0,2.0,,32.0,1.0,16.0,"I did not","Thank You","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM45107232978</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0
,,,,0.0,"98.183.187.101",100.0,733.0,1.0,,"R_1nWbdXw8v0jMG5e",,,,,36.79679871,-76.17669678,"anonymous","EN","A1V9G7V6ZYACIR",1.0,"When I think of a college teacher I think of someone who is progressive and liberal. I think of someone who is well educated and are open to different ideas.",6.0,"I agree with this metaphor because the teacher is the one who pushes his beliefs on the students. The teacher says what they think of an issue and the students agree with this or disagree with it. Some students get molded like clay.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"I somewhat agree with this metaphor in the sense that the teacher can mold the students into having certain beliefs about certain things. The teacher pushes their beliefs on students.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this metaphor because teachers are the ones who guide students into what to study. Teachers are the ones who tell students what to study so they can improve in whatever the subject is",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"I dont agree with this metaphor because I do not see the correlation between students being smartphone users and getting apps from the store",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"I agree with this metaphor in the sense that students follow the lead the teacher sets. The students are guided by the teacher.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"I agree with this metaphor because the sailors follow the lead of the captain. The students agree to study and listen to what the teacher is saying. The teacher is the one who sets the path that the students follow just like a captain of a ship sets the path for the sailors.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,"I prefer this metaphor because I think it is the most accurate description of teaching. It fits my experiences of what I went through when I was studying in college. Teachers are coaches that push students to improve in certain areas. They direct them on what to study.",1.0,,3.0,1.0,,3.0,6.0,"computer science",3.0,2.0,,28.0,2.0,50.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM61251450670</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,3.0,3.0,2.0,1.0,2.0,4.0,0.0
,,"6/21/18 2:08","6/21/18 2:24",0.0,"107.139.142.224",100.0,916.0,1.0,"6/21/18 2:24","R_1OHKBr766mVs1gg",,,,,33.57620239,-102.0429001,"anonymous","EN","A1NNV9G23MVQYI",1.0,"I consider college professors to me interesting, well-read, unique, educated and liberal. They are temporary shepherds of a flock of students.",6.0,"This metaphor makes total sense as teachers shape their students and mold them into better people",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"The teacher tends to the students and helps them grow like a gardener in a garden of plants",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"Teachers are less like coaches than some of the other metaphors",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"This sounds a bit complicated but it makes sense if you really think about it as each teacher has their own information to impart (like a specific app) and the students access the information",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"I don't like this metaphor because tourists tend to only be temporary visitors to the information",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"This metaphor isn't totally true as there is not growth or learning aspect to it. Sailors are more just hired hands to a captain",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,"Plants grow and so do students. I like the idea that teachers help students grow into their full potential.",2.0,,3.0,1.0,,2.0,,,3.0,2.0,,28.0,1.0,0.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM1931235197</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,4.0,2.0,1.0,5.0,3.0,5.0,1.0
,,"6/20/18 12:47","6/20/18 13:00",0.0,"24.218.173.86",100.0,785.0,1.0,"6/20/18 13:00","R_1PdbifomxsTbK5H",,,,,42.08580017,-70.99990082,"anonymous","EN","A27CEAL8PWSAG5",1.0,"Intelligent, intellectual, confident, outgoing, creative, demanding, strong, stubborn, competent and willing to help others succeed.",4.0,"I can agree somewhat with this. The teacher is sculpting our minds to be the person we are meant to be. We start off with the unknown but then our minds can turn into something amazing.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"The teacher is helping us all grow as individuals in this huge world we live in. We are learning and becoming our own persons.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,"A teacher is definitely like a coach. They are supporting, teaching, helping and coaching us to learn and grown as people. We are growing our minds!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,"I am a little torn on this one. I don't find that we are using the teacher like a game. I feel like maybe we are going along with  the teacher and learning not playing.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,"I don't know if I agree with this. A tourist is someone who is just following and visiting a place. Students are taking the lead in their own venture.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,"A teacher is like the main character who helps their students to succeed and become teachers themselves. We learn from the teacher as their students. The teacher is like our destination in the ocean.",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,"I feel that a teacher is part of the whole process and not just the leader as like in a garden. We are growing and learning because of the teacher's guidance, knowledge and support. The teacher was one of us before and now they are helping our minds grow into our own flowers.",2.0,,1.0,1.0,,3.0,5.0,"Law",3.0,2.0,,42.0,1.0,22.0,"None","None thank you!","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM29416339455</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0
,,"6/20/18 22:28","6/20/18 22:36",0.0,"174.126.125.218",100.0,464.0,1.0,"6/20/18 22:36","R_1pPujAaUrRVOOt3",,,,,30.38259888,-89.3730011,"anonymous","EN","A2UZXRV8QU8TGS",1.0,"a wise parent imparting life lessons to adored children, and who gives them comfort that will last forever. it truly will.",5.0,"minds are empty of the subject matter and ready to be shaped.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"yes, there is a lot of growth",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"teacher do motivate, but there is more to it",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"no, silly",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"they show students around the block a few times",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"yes, teacher lead and sailers or students follow",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,,"it's true that teachers show students around and give them a peek at a lot of things.",2.0,,1.0,1.0,,1.0,6.0,"political science",6.0,1.0,"i taught at a community college for two years. i was the developmental lab English instructor and I greatly enjoyed helping to take my students over the hurdles that most experienced before enrollment. it was very rewarding.",34.0,3.0,61.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM10050197216</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,4.0,2.0,2.0,,2.0,2.0,1.0
,,"6/20/18 16:07","6/20/18 16:15",0.0,"134.41.122.223",100.0,466.0,1.0,"6/20/18 16:15","R_1pVYryeZjOwfZix",,,,,46.19700623,-59.95700073,"anonymous","EN","A2135R2UUG39TD",1.0,"Intelligent people who have a passion for teaching, make solid choices in life. Good with finances for example.",4.0,"I mean it kind of makes sense, but I'm not molding myself to be the professor. I'm using his knowledge to better myself and go my own way. He may teach things but I'm going to implement them my own way,",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"I guess this one makes sense in that that we as students are growing to become a beautiful, smart, intelligent ""plant"". I like this one.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"I like this line of thought, the professors give us the chance to become great ""athletes"" so to speak, we work hard and carve our own path with their advice and guidance.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"It kind of make sense if you consider it from a strictly financial point of view, we're paying for their service and getting knowledge in return.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"I just don't have this metaphor resonating with me at all, a tourist just kind of looks around at things and doesn't do much of anything. And a tour guide? Seems a bit demeaning.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"This one doesn't resonate with me at all because i don't know if Sailors are just like random people on the ship or if they work for the captain or what?",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,"I think it provides a solid reasoning for the fact that students can become amazing people due to the teacher.",1.0,,2.0,1.0,,2.0,,,2.0,2.0,,23.0,2.0,12.0,"No.","Entirely too much typing for the amount of pay given, made me feel like a slave. Minimum pay for that much writing should be $1.50-2.00.","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM1724396907</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,3.0,3.0,4.0,3.0,3.0,1.0,1.0
,,"6/21/18 2:12","6/21/18 2:33",0.0,"172.56.6.108",100.0,1226.0,1.0,"6/21/18 2:33","R_1qg2JXkIZisKWZs",,,,,32.85740662,-96.87059784,"anonymous","EN","A3B72C9QCLCWHS",1.0,"College teachers are knowledgeable in their field.  College teachers should always engage their students in higher level thinking.",6.0,"I like this metaphor because a good professor can engage their students and mold them per se by providing engaging learning opportunities which enhance and challenge their students.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,"A teacher is the person responsible for planting seeds of knowledge into their students.  Just like a good gardener, the teacher will continue to provide aspects such as encouragement and learning materials to prepare students for a lifetime of learning.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,"Although a college teacher is responsible for teaching their students, adult students should still have some sense of being able to speak freely and openly about certain concepts are factors being presented.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"In many ways, a student can hold the key to knowledge in their hands so to speak.  If the teacher is the app, then it is up to the student to access the knowledge from the teacher in order to empower the student.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"Teachers are able to provide a variety of learning opportunities in some cases involving various subject matters particularly in elementary school settings.  Therefore, the learning becomes multifaceted.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,"In many ways, this metaphor would mean that the professor is in charge of guiding the students during a course and the students' responsibility would be to basically take directions.  There may not be much room for individuality.",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,,"I prefer this metaphor because during my years of college, I could see where my professors were the apps.  I've taken several classes over the years, and just like an app, I've been able to use the information my professors have offered to extend my knowledge in the subject matters for each specific major.",2.0,,3.0,2.3,,2.0,,,6.0,1.0,"I've worked over a decade as a parent educator.",53.0,1.0,23.0,"N/A","N/A","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM99245955639</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,2.0,4.0,1.0,4.0,1.0,3.0,1.0
,,"6/20/18 23:38","6/20/18 23:45",0.0,"68.7.37.44",100.0,443.0,1.0,"6/20/18 23:45","R_1QyBBdWqqHWSdOJ",,,,,32.81269836,-117.0332947,"anonymous","EN","A2YTO66F8HR01E",1.0,"A well paid man who teaches people for money and doesn't care about the academics. Not all teachers are like this but money of them are",6.0,"""A teacher is like a sculptor and students are like clay""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"I disagree because as I told you before many teachers don't care about their student and about their academic level",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,"I have no problem with this statement but I don't agree with it hundred percent",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"""A teacher is like an app store and students are like smartphone users""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"This is a very silly statement  and I neither agree or disagree",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"""A teacher is like the captain of a ship and students are like sailors""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,,,1.0,,2.0,1.0,,2.0,,,3.0,2.0,,20.0,2.0,33.0,"No","No","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM47952950381</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,,,,,,,0.0
,,"6/20/18 8:54","6/20/18 9:03",0.0,"24.46.117.154",100.0,542.0,1.0,"6/20/18 9:03","R_21B412Gouwg0kvP",,,,,40.61000061,-73.91079712,"anonymous","EN","A3JLE2LJ5I17E2",1.0,"I think about boring terms and classes that is way too long but we are spending a ton of  money for no reason.",6.0,"I agree with this because the teacher has the power to mold the minds of all kids at one point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this because the teacher has the power to mold the minds of all kids at one point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this because the teacher has the power to mold the minds of all kids at one point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this because the teacher has the power to mold the minds of all kids at one point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this because the teacher has the power to mold the minds of all kids at one point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,"I agree with this idea because the teacher is the one that went through all the mess they went through to get to the point they are at right now.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,"The teacher is the one that is leading these into a wilderness that they have to find a way to get out at all costs.",1.0,,1.0,1.0,,1.0,4.0,"Business Management",6.0,2.0,,36.0,1.0,90.0,"No","No","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM42992315289</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,,,,,,,0.0
,,"6/20/18 22:29","6/20/18 22:54",0.0,"47.134.148.164",100.0,1511.0,1.0,"6/20/18 22:54","R_249W2gXI0ojp6Rb",,,,,35.88070679,-82.30950165,"anonymous","EN","AFSI4GMXWKC2U",1.0,"Very professional and committed to teaching.  Someone who is passionate about what they do, and doing the very best they can.",6.0,"That makes alot of sense, a teacher teaches the students,and sculpts them in to educated humans.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"That makes alot of sense, and I really understand where they are going with this.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"I kind of agree with this. The teacher and a coach teaches, and cares and wants to be sure they do there best to suceed as well.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"I dont think that at all, an app store is just information sitting there, and a teacher teaches you stuff.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"It makes a little sense and I kind of agree with it.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"A captain is just like a boss, and an overseer I dont think that is all the teachers do.I get the concept, but I dont agree with it.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,"I just think it makes more sense than the others. That the teacher is the sculptor doing what they will to teach you and mold you into a good person, they are like the sculptor.",2.0,,1.0,1.0,,2.0,,,3.0,2.0,,20.0,3.0,100.0,"no",,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM38114128880</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0
