StudyID,Study,Condition,Durationinseconds,worker,Q93,teacher_thoughts,metaphor_think,transfer,holdattention,communicate,present,challenge,motivate,participate,question,conversation,stimulate,answer,knowadvance,expectations,rules,knowledgeable,respect,prepared,confident,posenviron,care,feedback,gettoknow,needs,understanding,available,listen,personable,community,knowotherstudents,support,teamwork,discussion,debate,creative,goal,effort,influence,adapt,experts,authority,intelligent,abstract,knowtalkabout,ATTCHK4,metaphorother,teacresponsibility,studresponsibility,tvs,influence_learn,influence_develop,favorite_metaphor,favorite_metaphor_8_TEXT,Metaphor_justify,gender,attentioncheck,race,race_7_TEXT,college,Collegelongago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_A,f2_nurterer,f3_authority,f1_communitybuilder,f4_engagingcommunicator,f5_stimulator
12,1,coach,525,A1PXXMC3GQT2II,1,I think of an older man or woman that is very intelligent. They are frequently very eloquent with speech and welcoming to new ideas.,"A teacher is similar to a coach because the teacher guides the students to perform their best, similar to how a coach guides athletes to perform their best and navigate obstacles.",7,3,4,7,7,7,7,3,4,3,4,6,6,7,6,7,7,7,6,4,7,6,6,6,6,2,5,7,5,7,7,4,3,2,7,6,7,7,6,7,5,2,6,4,NA,76,50,1,79,93,4,NA,"A teacher is there to show the students what exists in their field, it is up to the students to want to be shown what exists and want to learn what is there. The teacher knows a lot about the subject, the students need to be there and ask questions and participate in the learning. The teacher can show you X, Y, and Z about the subject and then further elaborate on it.",2,3,1,NA,2,NA,4,2,NA,25,1,NA,24,NA,NA,0.319269573,1.187694273,1.220145019,-0.221781937,-1.012457258
13,1,coach,369,A2Q8N687305WLH,1,"Somebody who is at the top of their class, so to speak, in the field. They have completed the necessary training and education to reach the point where they are capable of knowing what they are speaking of enough to pass the knowledge onto students.","A teacher passes on their knowledge of the ""game"" to their students and can guide them in the correct direction to ""win.""",4,6,5,5,3,6,4,2,2,4,4,6,6,6,5,6,6,6,3,5,5,3,4,4,5,4,4,6,6,6,6,5,3,6,6,6,6,3,5,6,4,2,6,4,No.,75,100,2,75,76,4,NA,"I think that this is the most appropriate metaphorical avenue for the concept of learning. The teacher knows the area, and the students are there to document it and learn about it.",1,3,1,NA,2,NA,3,2,NA,29,1,NA,0,No issues.,Thank you.,-0.810527953,0.475013661,0.87351098,0.099597163,-0.662025964
14,1,coach,407,AR5Z036T6NLBY,1,Someone who has a higher-than-usual passion for education. I think of a social person who wants to pass down their knowledge and mold young people,"A teacher prepares students for life in the same way a coach prepares people for games. A teacher can help students devise strategies, learn patterns, and learn to problem solve in real life situations.",6,7,6,7,7,6,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,5,7,7,6,6,6,6,6,7,7,5,7,6,6,4,NA,40,60,2,90,15,2,NA,"A teacher provides the environment in which a student grows, much like a gardener. Without the appropriate environment, students won't be able to grow and learn. Just like a plant who doesn't have the appropriate soil, water, or sunlight.",1,1,1,NA,2,NA,3,2,NA,27,2,NA,40,"I accidentally clicked ""married"" for the attention check question and was unable to change it.",NA,0.811804047,0.480245721,0.815867831,0.875187378,1.238097694
15,1,coach,1687,A322XYNEK21I27,1,Someone who is passionate about the subject that they teach and are glad to be in the classroom to help others learn about it.,"Teachers coach their students into learning the material for the class and for their exams. Students are like athletes because they use the information from the teacher, or coach, and implement it into real life, or game.",6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,5,6,6,6,6,4,NA,61,94,2,100,67,3,NA,I prefer this metaphor because teachers coach you through their course. I've had teachers who encourage teamwork and getting to know other students and work together to figure out solutions to problems in the course.,2,3,1,NA,2,NA,3,2,NA,19,1,NA,0,No.,No.,0.482837577,0.644849177,0.692011746,0.576162509,0.769561938
16,1,coach,985,A3T7N805PVNEXN,1,I think of a person who has been working in their field for at least 20 years. They have very much experience and stories to pass onto students willing to listen.,The coach is there to help the athlete and give them guidance much like a teacher does to their students.,6,6,6,7,7,7,6,7,6,6,7,5,7,6,6,6,7,5,6,7,6,7,6,7,5,6,7,7,6,6,6,6,6,6,7,5,7,5,7,7,7,7,7,4,None that I can think of.,34,67,2,65,62,3,NA,"I prefer this metaphor because the others imply it is solely the teacher's duty to help a student succeed. While the teacher can help, it is up to the student to put in the work outside of the classroom to really understand and succeed as students. It is like a basketball player being coached by one of the greatest coaches of all time. While the coach can definitely have some sort of impact on that player's development, it does not matter in the end if the athlete is not willing to put in hours of work off of the court in order to reach their full potential.",1,3,"2,4",NA,2,NA,3,2,NA,22,1,NA,12,None,None,0.901608125,0.7458488,0.95543778,0.657932084,0.862972214
17,1,gardener,235,A2U5DWGXEAIWYE,1,I think they are very capable of being good and amazing people with a nice charisma about them. So from that standpoint that's my feelings and thoughts on them personally.,I think this means that they are someone who natures and see's about the students to make sure they grow in the best possible light.,4,6,4,5,6,6,5,3,4,4,5,5,7,6,5,5,3,6,4,5,4,4,7,6,5,6,6,4,5,6,6,5,5,7,6,5,4,6,4,7,7,5,5,4,A teacher is like a captain of a ship while the students are just sailing buddies.,56,49,1,62,49,2,NA,It's a good metaphor that gets the point across that teachers are people who lead and the students must follow their lead.,1,3,2,NA,2,NA,3,2,NA,27,1,NA,59,NA,NA,0.416111237,0.535261329,0.443649486,0.020243858,-0.129032303
18,1,gardener,878,AHKRGPN5D3I2G,1,Someone who wants to teach students reach their next level of career and have a stable job at a college or university.,"It means that a teacher will plant on a student their ideas, theories, and past experiences so that the student can grow.",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,No,81,99,2,100,98,3,NA,"Because of all the choices, this metaphor makes the relationship between student and teacher the clearest. As a music major, for me this metaphor relates to me a whole lot more.",1,3,6,NA,2,NA,4,1,Teaching kids how to play music at my local church,27,1,NA,21,No,"God bless and good luck! Jesus loves you! All clear with the survey. Thank you for the opportunity to help! Alot of success will come to you if you keep at it.
",1.375512404,1.241161593,1.361642226,1.336651505,1.411133727
19,1,gardener,490,A3V8C77FN4FLUA,1,Someone who has a higher education on a specific topic but may not be as educated on teaching students as a high school teacher. They are generally less concerned with individual students' needs and more businesslike.,The teacher nurtures and cares for the students and helps them grow. If the teacher doesn't do their part the student will likely not thrive and grow.,7,1,2,4,2,5,4,1,3,4,5,6,1,4,6,1,4,3,4,6,4,5,7,5,6,5,5,3,1,1,1,1,1,3,7,6,6,5,6,5,4,1,6,4,Not that I can think of.,100,22,1,93,92,3,NA,"I chose this metaphor because it's more relevant to the relationship between teacher and student. Both have responsibility, it's not just up to the gardener or the sculptor. There is more involved than a tour guide would provide.",2,3,"1,6",NA,2,NA,3,2,NA,29,1,NA,21,no,Good luck with your research!,0.506133577,-1.73359614,-2.088966277,-1.48798792,-2.045532923
20,1,gardener,904,A1F4N58CAX8IMK,1,"I think about someone who is serious about academia, sometimes to a fault. I think about someone who teaches based on their experience as a student, good or bad.",A college teacher can dispense knowledge and help students grow. Or over water them...or under water them and expect them to grow twice as high.,3,4,6,5,5,2,3,3,5,7,4,2,3,3,4,1,2,3,5,6,5,3,6,4,4,3,3,3,3,2,3,2,4,3,2,4,3,1,3,2,4,3,5,4,NA,99,52,1,100,15,3,NA,"The job of a teacher is not only to present material, but to make sure that students can then take that knowledge and apply it outside of academia. A coach gives you the plays, but it is up to you to execute them. Understanding is a shared responsibility, whereas in the garden metaphor the students are just expected to soak up whatever the teacher happens to give them. A good teacher doesn't just teach you a subject, they teach you how to learn.",1,3,1,NA,2,NA,4,2,NA,28,2,NA,3,No,Not at this time,-0.35739027,-1.90487693,-1.424106939,-0.755227912,-0.554287085
21,1,gardener,423,ABUZC6X6W11ZR,1,A person who has dedicated his or her time to serve the community. A person with an expertise in a particular subject.,"A teacher nurtures and takes care of the students just like a gardener to his or her plants. To make sure they grown and learn properly so that they don't metaphorically ""die.""",7,6,6,6,6,6,7,6,6,6,7,6,6,6,6,5,6,6,5,6,6,6,6,6,7,6,6,6,5,6,6,6,6,6,6,6,7,6,7,7,6,6,6,4,NA,100,38,1,100,100,4,NA,I feel this metaphor fits more appropriately than the one given. The one given felt like a parent to a child which is really not the case in a classroom environment. The students are solely responsible. In this one that I chose it feels like students have the wish to come and go as they please without being too dependable on the teacher.,1,2,4,NA,2,NA,2,2,NA,23,1,NA,34,Nope,Nope,0.727418381,0.517622395,0.625741122,0.598560051,0.76472565
22,1,sculptor,383,A1THXHPVWVEWNZ,1,Someone who has completed undergraduate college if not further higher education and is competent enough in their field of study to be able to teach it to other people,"A college teacher can ""mold"" or ""shape"" his or her students into the type of person who understands and can perform well at whatever subject they're being taught",5,4,3,4,5,4,3,5,3,5,4,4,3,4,5,5,4,4,3,4,4,4,4,3,3,5,3,3,4,3,4,3,4,6,5,5,6,5,5,5,3,2,5,4,Teachers shape their students' thought processes to understand the subject they're teaching,81,66,1,80,74,3,NA,Because it's the most human of the metaphors and grants the most agency to the students to take responsibility for their own learning,1,3,1,NA,2,NA,3,2,NA,27,2,NA,36,NA,NA,-0.638082145,-0.334081361,-0.643970079,-1.238668161,-0.381082278
23,1,sculptor,827,A5K108EWACHK5,1,An open minded person with a lot of life experience.  The person cares about educating people and is able to form opinions on many subjects and is enthusiastic when expressing those opinions.,"A college teacher can expand the mind of students by making them think about things they have never thought.  The teacher also makes their mind think in ways they have never thought before.  After being taught, they are like a different person and are thus sculpted.",6,6,6,5,6,6,6,7,6,6,6,6,6,5,6,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,4,Teachers present intriguing information.,76,76,2,77,82,3,NA,An athelete will have the motivation to succeed in the sport he pursues.  He will seek and find a coach to train him to do so in the appropiate way.  In the same way a student is interested in a certain subject and seeks out a teacher to show him the traditions of that subject and help him grow in understanding that subject.,1,3,1,NA,2,NA,3,2,NA,30,1,NA,9,no,no,0.563661101,0.0968542,0.581920562,0.181215183,0.958040174
25,1,sculptor,728,A1V6L58XUX4K71,1,A college teacher can be the window you need for knowledge and a friend at the same time. College teachers can be very helpful in giving you life lessons and educational lessons at the same time.,"A teacher has all the power in the world when it comes to shaping kids into who they become as adults. They have the choice to have a positive or negative impact on the students they teach.,",6,5,7,5,7,7,7,5,6,7,7,7,6,4,6,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,4,5,7,6,4,NA,51,87,2,86,26,1,NA,"by college, although the students are already developed into the people they are, college teachers still have the influence over what kind of person they can possibly be. College teachers can motivate students into becoming better people.",2,3,1,NA,2,NA,3,1,I used to be a teaching assistant in high school for a class period a day,19,1,NA,0,NA,NA,1.413121451,-0.032781961,1.406537633,0.887348204,1.262950283
26,1,sculptor,538,APHF6Z7738OYK,1,someone who teaches for a few hours a day. Is not very highly educated. Maybe works at a community college. Values his job but not the profession. Gives basic education.,a teacher molds his students to his thoughts. STudents come to the teacher to learn and he dispenses the knowledge he has,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,NA,71,38,1,71,81,1,NA,NA,2,3,4,NA,2,NA,5,2,NA,27,2,NA,70,no,no,-0.015125586,-0.031484267,0.262310077,-0.139701393,0.206975228
27,1,sculptor,276,A3HZFB2JLF3JMY,1,someone motivated to teach and is passionate to make other individusalds think in a wider more intelligent way,"First of all this metaphor is way shorter than the one I just had to write and secondly its pretty cool, not sure why specifically clay but okay
",4,3,3,5,3,3,2,5,5,6,4,3,5,3,3,4,3,4,3,5,3,4,4,5,3,NA,3,3,4,4,3,4,5,4,4,5,3,4,4,4,4,5,2,4,NA,50,38,1,52,68,1,NA,I did not chose it as my favorite at all,1,2,1,NA,2,NA,4,2,NA,24,2,NA,81,no,n/a,-0.472702225,-0.70518351,-0.628044417,-1.29265446,0.128024011
28,1,sculptor,572,AHA60QCAHIMW8,1,That they teach more openly and use videos or guest speakers to add to the subject. This provides students with more explains and insight into the material.,That they can help format the student's ideas with the knowledge that they provide to their students.,6,6,6,5,7,5,6,7,6,7,6,7,6,6,6,7,6,7,7,6,6,6,6,6,6,6,6,6,7,7,6,7,6,5,6,6,7,6,7,7,6,6,7,4,none,100,70,2,52,52,3,NA,"Because like an athlete, one needs to practice by themselves in order to be great athletes. It takes teacher/ coach what the athletes need to improve and then for the student/ athlete to practice in order to make the correction and have it stick.",1,2,1,NA,2,NA,2,2,NA,20,2,NA,49,Nonce,None,0.707482494,0.967591356,1.130321205,0.886707523,1.213061879
29,1,sculptor,449,A2ZNOMZ35LKY8Q,1,A college teacher is someone who's job it is to teach and inform others. This person is usually if not almost all the time an expert in a given subject.,"The teacher is the sculptor, turning each piece of clay into a sculpture in terms of knowledge. The act of sculpting would be done through the method in which the teacher teachers their students and the students are sculptures by the end of the class.",3,4,6,5,7,5,5,3,5,5,6,5,6,5,7,5,5,5,5,4,5,6,4,6,6,5,5,5,4,4,4,5,5,4,6,5,4,4,6,3,6,4,5,4,NA,86,30,1,81,85,3,NA,"I prefer this metaphor because an athlete must put in just as much effort as their coach if they would like to see results. If an athlete doesn't try hard, they will not succeed. This is also true in a student teacher scenario as well.",1,3,"1,2",NA,2,NA,3,2,NA,23,1,NA,14,NA,NA,-0.412919165,-0.208673748,-0.2254224,0.001723695,0.032622218
30,1,sculptor,968,AC48Y6FDB9UMA,1,When I think of a college teacher I think of someone who is dynamic and well versed. I think of someone who's interactive and has a sense of openness.,"When I think of this metaphor I think of a bunch of blank canvas', which are the students, there to learn. Then I think of the teacher who is there to mold the student's and guide them.",4,4,4,7,7,7,7,7,7,7,5,7,7,7,7,6,7,7,4,6,7,5,4,6,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,4,NA,70,30,1,100,29,2,NA,"I really love this metaphor. To me it's perfect. A teacher will give you everything you need to grow. They will dig the hole, they will plant the seeds, they will water them and give them sunlight. However, it's the student who must grow and break the surface and flourish.",2,1,6,NA,2,NA,4,2,NA,29,2,NA,18,"I accidentally selected ""married"" instead of ""does not apply"" on the attention check question. :( Sorry about that! It was too late to change it and I could not go back, but I did see it!","No, that's all. Great survey. Thank you for allowing me to participate!",0.289241732,0.841413959,1.439464773,-0.138653775,1.538405526
31,1,tourguide,1258,A2N37AHRZ64LS,1,"An instructor who will educate your mind. Someone with passion for spreading knowledge. I think a college teacher is a very dedicated person, especially since they are underappreciated in the US.","A teacher is definitely like a tour guide. They have been down the path, if you will, they have mastered the terrain. They know where to turn and jump. They take on tourist and navigate them thru the most accessible path while making it enjoyable and easy to understand.",7,7,7,7,7,6,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,4,7,7,7,7,7,4,5,7,5,7,4,"Teachers are patient and patient. 
They are an asset not only to their communities but to mankind as a whole.",72,100,2,74,100,4,NA,"I like this one best because a tour guide will help you and guide you, but they are not responsible if you trip and stop your tour (say you are unmotivated to do college coursework or show up to labs and lectures).",2,1,"1,6",NA,2,NA,3,2,NA,28,1,NA,10,I did not encounter any issues whilst taking the survey. It functioned beautifully with no glitches. Thank you very much for allowing me to participate.,I wish you the best of luck in your research and continued studies. -Michelle,1.203948731,0.841087576,1.411321412,1.453531361,0.54397592
32,1,tourguide,661,A1WOFSTPXHWVF1,1,Someone who is highly educated and/or has a lot of experience in their field. I think of someone who is usually open minded and genuinely wants their students to do well,"College teachers are like tour guides in that they show us so many new things that we didn't know before. Stepping into a classroom is a new environment, and the college professor is teaching us all about it while we learn.",7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,3,6,7,7,7,6,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,4,7,6,7,4,"No, that was a good list!",100,50,1,90,100,2,NA,"I think this is a great metaphor! This to me says that the teacher plants the knowledge in the students minds, which in turn helps the students grow and flourish.",2,3,1,NA,2,NA,5,2,NA,25,1,NA,5,None,I really enjoyed this!,1.467931292,0.046600561,0.829571065,1.010539417,1.404337829
33,1,coach,767,A1OLK1NRBF4TC5,1,"I think of a person that dedicated several years to become a teacher and get up to the point to teach others. Someone that had to put up with a lot, imagine that difficult person you had in your class, well they have to deal with one or a couple in each of their classes they teach.","A coach teaches his athletes the rules and fundamentals of the game, students are similar to athletes because they are the ones that come to the coach to learn.",6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,4,No,92,62,1,76,89,2,NA,A teacher has to pro-actively keep up with the learning needs of his/her students or else there's a chance that they won't grow and bare fruit. It't not a one way street either the students also have to do their part even though the teacher supplies all the things to help them actively grow.,1,3,4,NA,1,4,5,2,NA,29,2,NA,40,No,No,0.569607346,0.18821825,0.808517201,-0.07966525,0.851423679
34,1,coach,307,A2YAYHZYI7M3HD,1,I think of someone who is doing an important job. I think of the importance of education in general.,A teacher teaches students like a  coach teaches athletes. That is what I think it means. I don't know what else to write.,6,6,6,6,6,6,5,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,6,6,4,No.,57,83,2,69,77,2,NA,"I think it works as a metaphor, in that teachers can cultivate a students mind in a way to make them grow as people and blossom in their level of knowledge.",2,3,1,NA,1,3,6,1,I'm a professor.,28,1,NA,30,No,No,0.685170593,0.712713942,0.793431268,0.622801662,0.792990931
35,1,coach,703,A3AY0315YWWNXY,1,"Lazy and incompetent, unwilling to take any extra steps to motivate the students to pursue any career and only care about themselves and how little work they can do to get by.",I don't adhere to this metaphor at all because a teacher is a teacher and nothing is comparable to a coach. The students are not athletes in any manner as they are not physically active in any way.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,I think everything about summed up the attributes succinctly.,0,100,2,100,0,5,A teacher is like a prison guard and students are like prisoners,"My teachers hindered my inquisitiveness and restricted my learning experiences by progressing too slowly and sluggishly, with little care in how others perceived the material and showed no interest or passion in pursuing questions or inquiries on the subject matter.",1,3,1,NA,1,3,5,2,NA,27,2,NA,51,Everything worked perfectly.,"Nothing to add, thank you.",-2.796401567,-2.576775987,-1.936354222,-3.09240719,-2.20134177
36,1,coach,514,A1JQ4KBFW7U3N1,1,A college teacher is like a guide. They are there to help show their students the way through their path of learning without actually flat out telling them.,"Teachers can be like coaches because they both try to teach and better who they are in charge of, either students or athletes.",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,no,83,100,2,86,89,4,NA,I like this one because I think the teachers goal is to show students the path and let them do the learning themselves.,1,2,1,NA,1,1,5,2,NA,26,1,NA,10,no,no,1.375512404,1.241161593,1.361642226,1.336651505,1.411133727
