Finished,worker,Q93,teacher_thoughts,memorycheck,favorite_metaphor,favorite_metaphor_5_TEXT,Metaphor_justify,gender_1,gender_2,gender_3,gender_4,gender_4_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,college,College-longago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_1,condition,metaphor_think,teacresp,studresp,tvs,inflearn,infdevelop,metaphor_other,care,needs,gettoknow,stimulate,respect,authority,rules,expectations,communicate,holdattention,personable,community,knowotherstudents,support,teamwork,adapt,discussion,debate,question,confident,attchk4,GotPaid,pa2_nurterer,pa3_authority,pa1_communitybuilder,pa4_engagingcommunicator,pa5_stimulator
1,A10048W1LKR40,1,"I think about learning and reading about the syllabus that this college teacher is teaching. I like to also judge the teacher after the first impression, and whether they are nice and impressionable.",3,3,NA,"Although a teacher may be very influential and try to teach the students. Ultimately a student, like the athlete, has to perform, they decide the results of the game.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,2,NA,24,1,NA,0,no,no,coach,"I like this metaphor and I totally understand it. The teacher and the coach play very similar roles, where they try to be mentors and highly influence their group whether it be athletes or students.",80,100,1,78,72,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,1.398962883,1.313988456,1.423112789,1.416256016,1.420036147
1,A1J8TVICSRC70W,1,"I think of it as a journey, travelling to a destination. I envision a bunch of students riding a bus to higher education.",2,4,NA,"I think that it conveys the idea that the students are there, but they choose how much to take away. It puts the responsibility on the students.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,NA,24,1,NA,22,No,No,gardener,"I think it means that a teacher can enrich their soil with learning, help them grow/improve. I think that with the right care, a ""plant"" can grow into a much healthier item that can give back",31,90,2,70,79,"Foster creativity, empower them to give back",7,6,4,5,2,1,1,4,3,2,1,4,5,5,5,5,3,1,2,3,4,1,0.537513959,-2.230272425,0.153198477,-2.095654322,-1.681681168
1,A1STU8IA7S3WOK,1,"Someone who is generally more skilled and knowledgeable than a high school teacher, generally higher paid as well.",1,2,NA,"This one makes the most sense to me, a teacher can plant ideas in a students head, but its up to them to focus on learning.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,NA,25,1,NA,17,None,thanks!,sculptor,"A teacher molds students thoughts in a certain direction, so that they can get the most out of the class.",82,83,1,86,81,none,5,4,5,5,5,5,5,6,6,4,5,3,3,3,4,5,5,5,6,6,4,1,-0.317583777,0.112582955,-0.747895255,-0.083133212,0.344459604
1,A1A8TN89Y1EIZU,1,"A professor, someone who teaches but is more mature and course slightly more mature. Tons more efficient though",3,4,NA,"Because professors don't command everyone get results or personally is affected by the results, they more show students where info is, and open minds to various topics. It's not memorization contests in most cases",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,3,2,NA,21,2,NA,66,nope,nope,coach,"A coach is more about instructions and commands, teachers are to widen your thought processes and less about results",37,73,2,89,20,NA,6,3,2,7,1,5,4,7,4,6,7,5,1,2,5,3,1,4,2,4,4,1,-0.581051471,-0.804341107,-0.990225764,-0.117065746,-0.889280974
1,A1WZQ615V4663D,1,a professor teaching a lecture in an auditorium. they are old and people are bored. they wear robes and do not pay attention to the students,1,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,4,2,NA,27,1,NA,38,NA,NA,sculptor,A teacher can be creative and create a certain type of student based on their teaching style and skills. It's neither good nor bad.,100,20,1,100,100,NA,7,5,7,7,4,1,7,1,4,7,7,4,7,4,4,3,1,4,7,4,4,1,0.197204567,-1.386070816,-0.012093404,0.316425653,-0.048772664
1,A1BH6H9WRK49I,1,Being a college teacher is like being a lifetime mentor. You prepare students for their journey ahead.,4,4,NA,"I think the others are too strict in the interpretation. Coach may be the closest other option. I don't think it's like gardening or sculpting, students are individuals with free will and it's up to them to absorb the information teachers teach.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,5,2,NA,24,2,NA,24,no,no,tourguide,"The students are visiting the materials in class. They're given detailed information on things they may not be familiar with, like how a tour guide could present material and unfamiliar things.",71,49,1,74,41,Teachers display the important information,6,5,4,5,4,5,5,4,6,6,6,2,2,2,2,2,2,2,2,6,4,1,-0.51119773,-0.410633762,-1.63281579,0.57830539,-1.461509496
0,A27UX65DOP34DT,1,I think about someone who dedicates their time to teaching others so they can have bright futures. I think about how they are usually passionate in what they do.,2,2,NA,"I like this metaphor the most because, to me, it makes the most sense. 

A teacher is like a gardener because they both foster growth, they both want to see what they're growing (students and plants) succeed, and they both help to make the students/plants grow so they're useful, beautiful and ready for the world. Students are like plants because they both absorb something - knowledge and water/nutrients, they both need something to help them successfully thrive (students need knowledge/information/skills to help them grow and plants need water and nutrients to help them.)

I think this metaphor perfectly fits my views of college teaching because college teachers help their students grow by instilling the necessary knowledge into them just like gardeners do to plants with water and other things.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,NA,23,2,NA,23,NA,NA,gardener,A college teacher can be like a gardener because they instill knowledge and help students grow mentally just like gardeners water plants which helps them grow. Students are like plants because they need the teacher to help them grow and learn things just like plants need gardeners to help them grow.,93,48,1,94,79,Teachers help students mentally grow,7,7,6,7,2,5,2,4,6,6,5,6,4,7,6,6,4,5,6,5,4,1,1.323517673,-1.197458245,0.585790911,0.362187112,0.070735857
0,A2GXHECU31O81V,1,They are someone who is motivated and inspiring. They lead by example and spread knowledge to students.,3,3,NA,I think that this metaphor tells an accurate representation of how teachers are in comparison to coaches.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,I taught German to elementary students when I was in undergrad,26,2,NA,11,No,No,coach,A teacher leads by example and motivates students to be their best just like a coach does with their athletes.,74,83,2,75,63,No,6,6,6,5,6,6,6,5,7,6,5,6,6,7,6,6,5,5,6,6,4,1,0.612583564,0.438890003,0.979089103,0.714359168,0.299524308
0,A16TH68KJQZXKC,1,Someone who continues to pass on knowledge to students to aid their higher learning and help them grow.,2,3,NA,I think it applies more as coaches see what your doing wrong and give you advice on how to fix it.,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,21,2,NA,51,NA,NA,gardener,"A good teacher will water their students, as a gardener waters their plants, to help them grow and succeed.",100,100,1,100,64,NA,7,7,NA,7,5,4,2,6,6,6,6,7,7,7,7,6,6,5,5,4,4,1,NA,NA,NA,NA,NA
0,A2DFBJ46X6A3OE,1,A regular teacher same as a high school teacher. I don't think of college teachers any higher or lower than any other teacher.,4,2,NA,it makes a lot of sense. It is a very good metaphor,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,25,1,NA,20,NA,NA,tourguide,I think it is a good analagy. I do think teachers are like Master Splinter and the Students are his turtle disciple.,86,70,1,80,97,NA,6,6,6,6,5,5,6,5,4,7,6,5,6,5,5,5,6,5,6,6,4,1,0.496634551,0.117810646,0.33290198,0.320733366,0.630507509
1,A1YH0UN2H5JL33,1,"A wise person that has lots of experience. Someone who has certain expertise in one subject field, but are forced to teach in other subject areas related.",3,4,NA,"Because tourists can choose whether or not to listen to the tour guide. THey pay money to go on the tour, just like college, but they get out what they put in and how much they pay attention.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,22,2,NA,40,no,no,coach,A teacher's job is to coach and aid their students to an outcome just like a coach teaches their players how to do what they do in order to win.,50,91,2,65,32,They are cheerleaders,5,5,6,3,6,6,5,7,5,5,6,6,3,5,5,4,3,5,4,5,4,1,-0.0897643,0.387086986,0.113846368,-0.168347004,-0.256313773
1,AREQ43Q0T8ENT,1,The first thing that comes to my mind on a college teacher is that they are very professional and care very much about they portray themselves in front of young men/women.,1,3,NA,"I choose that metaphor, because without a coach, most athletes wouldn't perform as well if they didn't receive coaching.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,NA,22,3,NA,100,NA,NA,sculptor,"Pretty much saying that without the students, a teacher isn't anything. To be successful as a  teacher, you need the students to teach.",70,80,2,70,80,NA,3,5,6,5,5,5,5,6,4,6,4,4,6,5,5,5,6,5,5,6,4,1,-0.294753029,0.12505608,0.189564864,-0.355893798,0.580127495
1,A2HRUFTA09371Y,1,a college teacher is probably more relaxed than a high school teacher. college teachers are easy to talk to.,4,3,NA,"i like this metaphor because the teacher can guide the students, but in the end it's up to the students to practice what they have learned and perform well.",NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,1,3,2,NA,24,1,NA,0,no,no,tourguide,a college teacher can guide students through a given topic and answer any questions that they might have.,78,50,1,90,36,no,3,4,3,6,4,5,4,3,3,6,6,3,3,3,3,6,5,3,6,4,4,1,-0.616914476,-0.768176476,-1.170244846,-0.407778589,-0.047537863
1,A1CQI8L59BITWU,1,Someone that knows what they are doing hence why they are teaching the class. They typically try to help students as much as they can.,4,4,NA,It just makes the most sense out of all of the metaphors.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,20,3,NA,85,no,no,tourguide,"The teacher shows you how to do things. Students learn from the ""tour guide.""  A class is like a big tour.",50,50,2,70,60,NA,4,6,5,6,5,6,6,5,5,6,5,4,7,4,4,6,6,7,5,5,4,1,0.16672014,0.083260273,-0.094704608,0.100110102,1.200870076
1,A1Z0VVDFYH9PBW,1,I think of a really strict grumpy old man teaching us class. I believe it to be very boring and drawn out.,1,1,NA,"I believe it just captures clearly the entire meaning of it, because we can all imagine a sculptor wrapping his hands around the clay and sculpting it to a shape.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,19,1,NA,23,n/a,n/a,sculptor,"It means that the teachers shape us into learning new things, and in turn by us learning new things it can alter out life for the better.",81,91,1,81,81,I cannot think of anything more than isn't already here.,6,7,6,7,6,7,6,6,6,6,6,6,6,7,6,5,6,6,5,6,4,1,0.825367739,0.714108795,0.936394175,0.733344073,0.755345508
1,A3FEX4HZH9EPPA,1,"I think about a knowledgeable, respectful,  relatable person who is willing to share their knowledge with the young adults of the world.",2,3,NA,"I think this metaphor provides more responsibility on the student to put in their own efforts in order to grow and succeed. A plant relies more on the gardener, whereas the athlete is both self-reliant and dependent on the coach to assist them.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,30,3,NA,100,no,thanks,gardener,"I  believe this is an accurate depiction of teachers and students, in that the lessons taught to students help them grow the same way water helps a plant grow.",79,68,1,80,57,no,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,1,-0.346276188,-0.490061384,0.218633355,-0.130798313,0.116784593
1,A3GLU16BS8D688,1,"Uninterested recent graduates who have a strange impression of what their profession ought to be. Typically, they have never existed outside of academia.",3,4,NA,"Teachers do not exist to clone their beliefs and knowledge across many students. They ought to present and explain information in an unbiased way, allowing students to learn and come to their own conclusions.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,"I have tutored students in AP classes and taught preschoolers basic math, reading, and arts.",20,4,Constitutional Conservative,100,No,No,coach,"In certain circumstances, a professor could be like a coach if the class were united under them in pursuit of a specific goal. Possibly a grant or exam.",100,86,1,100,100,No,5,4,5,3,5,5,5,5,4,3,4,3,4,5,6,3,5,3,3,5,4,1,-0.779479709,-0.191689689,0.204427293,-1.048358663,-0.583217999
1,AQ2RSDKCMJ49C,1,Someone who cares about the future of humans. A person that is well respected in their chosen field.,1,4,NA,"I feel like this was most accurate because when you enter a classroom for a subject you don't know a lot about, Everyone in the room seems like a tourist and they are learning from the tour guide.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,2,NA,28,1,NA,0,none,nope,sculptor,A college teacher can be like a sculptor because they are shaping the clay (students) based on their teaching.,100,100,2,74,95,NA,6,3,6,6,5,5,2,6,5,6,5,6,6,5,6,5,2,6,4,5,4,1,0.005758188,-0.378991318,0.560515694,-0.057559033,-0.006556398
1,A3THWVIM72JOO8,1,A well educated professional who passes on what they learned to the next generation of learners. They work at other jobs and then regularly teach as a second job towards or after retirement.,4,3,NA,I feel that teachers are more like coaches because they teach you how to do q certain task over and over again until you are confident.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,22,1,NA,1,NA,NA,tourguide,"Teachers are like tour guides in that they show students al around a world, a subject, or a specialized skill. Students are the tourists in that they are fully immersed in the lectures shown to them by these well educated tour guides.",71,100,2,61,71,NA,3,5,5,6,5,6,5,5,4,5,4,4,4,5,5,4,4,5,2,5,4,1,-0.510328076,-0.049230736,-0.138920598,-0.539402562,-0.053161884
1,A313Y06KBQ63QW,1,"I think about a professional, semi expert, on a subject of their choosing. A college teacher should have extensive knowledge about the subject they teach and be prepared to handle college-aged students.",2,2,NA,"I prefer this metaphor because teachers must nurture and maintain certain requirements and behaviors in order to see that the students, or plants, show growth. Without proper nurturing by a teacher, it is very easy for students to grow disinterested. With a good, nurturing instructor, the students' perspective can change and they can grow to love a certain subject. This was the case for me with my anatomy teacher in college. He was so enthralled by the subject he taught and knew the material so fluently that he didn't need to consult a textbook. This made the students excited to learn the material and excel in the classroom.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,"I have a Youtube channel where I teach others how to create Mandala Art. I have no degree, but have taught the subject nonetheless.",25,2,NA,29,No,No,gardener,"A college teacher is a gardener in the sense that they plant the seeds to nurture. They then have to care of these seeds as they grow into plants. If the student, or plant, is not well catered to - nothing will matter in the end. In order to create an environment for growth, a teacher must meet certain requirements.",78,29,1,77,19,No.,6,6,4,5,3,5,5,5,6,5,6,4,4,4,4,4,4,3,4,4,4,1,0.167165738,-0.659266604,-0.397573589,0.16829418,-0.633496089
1,A3P27PCME7XWOC,1,"Educating at a high level for students that are passionate about the subject. They are less of a teacher and more of a professor. They are strict and expect commitment to their work. They won't guide you through everything, but they will answer questions.",3,3,NA,Coaches are also teachers but for the athletic scene. It makes sense since they both do their best to tutor/advise their students/athletes more about the subject and how to get better at it.,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,2,NA,18,1,NA,14,NA,NA,coach,"Teachers advise their students and give information on how to understand the subject better. They don't do the work themselves, because they already know.",94,82,2,92,79,NA,7,5,6,7,6,6,6,7,6,7,6,5,6,7,5,6,6,6,5,5,4,1,0.795204082,0.597811639,0.755644046,0.668809666,0.702213738
1,A1QC585JJUV6FV,1,"Middle aged man or woman. Someone who doesn't have children and most likely isn't married. Someone that cares about the community, and wants to help out.",2,3,NA,"I think that it shows that the students have the ability to show grit, hard work, and commitment. Something that a teacher cannot give to a student.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,27,2,NA,15,None,None,gardener,"Like a gardener a teacher has the ability to assist growth. Gardeners help plants grow, and teachers help their students to grow.",90,10,1,97,90,No,6,5,6,5,6,5,7,6,6,6,6,7,5,6,6,5,5,7,2,7,4,1,0.26656892,0.489479492,0.870852995,0.777901495,0.518435483
1,A3PJAHAD5YO67C,1,College professors are very smart and helpful. They care about their students and want them to absorb what they have to say while coming to their own conclusions about it.,3,3,NA,It's the best representation of the relationship. They're meant to facilitate learning and studying which students ultimately have to take into their own hands. They're not meant to make students think a certain way without questioning.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,21,1,NA,0,Nope,I enjoyed it!,coach,A teacher is like a coach because they're instructing students as a coach would do athletes and giving them the tools to succeed in/on the field.,65,100,2,80,70,NA,7,6,6,7,3,5,4,6,7,6,4,7,6,7,7,6,7,7,4,6,4,1,1.050639025,-0.427845474,1.305125138,0.665588989,0.87442061
1,A3MR4NQ3RHAMWF,1,"College teachers are at their best when they care about their students and the subject they are teaching. I've run into a few apathetic teachers, and all it does is drag everyone else down with them.",1,3,NA,"I prefer this partially because I was an athlete myself. Like a coach, a teacher offers help, corrects issues with your form, studying abilties, etc. But ultimately it is still up to the athlete/student to fulfill their potential. Unlike clay in the other metaphor, since clay responds exactly the same way to manipulations but people do not.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,2,NA,26,2,NA,50,no,no,sculptor,"This one is pretty self-explanatory, students are typically impressionable and willing to learn/change, and the tools a teacher provides them can help shape the students.",70,60,1,70,70,NA,5,5,5,5,5,6,6,4,4,4,5,5,5,5,5,5,6,5,5,6,4,1,-0.109501152,0.082479574,0.205594665,-0.350072949,0.453411518
1,AMFBEB0K2PHLO,1,An amazing experience to mold the minds of those wishing to learn. You have the expertise of an experienced individual.,3,1,NA,"I think in reality teachers shape their students just like one would shape clay. They have infinite possibilities to reach, but it all depends on the teacher/sculptor.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3,3,"I've tutored briefly, but not a definite teaching position.",21,1,NA,10,None,This was an interesting study! The thoughts of education are important to know.,coach,The teacher has the knowledge like a coach in a sports team. They dictate how much the student/athletes knows and preforms.,80,100,2,100,91,NA,3,4,3,6,6,7,7,7,5,5,5,5,6,6,7,3,7,4,5,6,4,1,-1.130907709,1.127687794,0.821467905,0.029444023,0.471775641
1,A1K0NVQDZZYZLN,1,College teachers are well educated and experienced. They have also participated in a lot of research studies.,2,2,NA,"I think this metaphor best fits the teacher-student relationship because it is true. Teachers are there to guide, nurture, and help students. Students grow to be successful people if they take time to absorb what is being taught and learn from it.",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,7,1,I teach little kids english.,29,1,NA,9,None,No,gardener,A teacher is a gardener because s/he instructs their students and guide them to learn new ideas. Students are like plants because they grow based on what they learn.,81,100,2,82,82,None,6,6,6,6,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,6,6,4,1,NA,NA,NA,NA,NA
1,AZH99WBG2NS23,1,"I think that they're patient, well-educated and must be passionate about education. Being a college teacher is a demanding task, so they must be willing to work hard.",4,4,NA,I prefer this metaphor over the others because it implies that both students and teachers are working together. Teachers aren't sculptors that mold students from clay because students are first and foremost their own people. Teachers obviously have a big relationship with students but it's also a symbiotic relationship.,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,5,1,I have coached a speech and debate camp over the summer.,22,1,NA,6,N/A,N/A,tourguide,"The metaphor means that a teacher guides students along the learning process. Teachers are responsible for educating the next generation, just like how tour guides show tourists around a city.",63,52,1,83,40,Teachers should be respectful of students.,5,3,4,6,3,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,4,1,-0.485888313,-0.778353918,0.050415719,-0.511053185,0.27803859
1,A17QHU5Q0FS3GW,1,"snooty, arrogant, condescending. I don't have a high opinion of liberal academia and we keep finding more and more frequently that a large portion of the studies coming from these places are completely bunk",1,2,NA,Because they spray them with pesticides before cutting them down and feeding them to the general population without much regard for how it will effect everyone's health and well-being.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,NA,28,2,NA,100,Nope,"Nope, thanks for the work :)",sculptor,The students are malleable and naive and more susceptible to influence than adults might be. The professor is able to teach them things that they otherwise wouldn't accept.,100,25,1,100,100,No,3,2,7,1,7,7,7,7,2,5,5,1,7,3,4,1,3,1,3,7,4,1,-1.868398847,1.340577071,-0.386618487,-1.063783148,-1.171001574
1,ALB9Q6PW38CHZ,1,"I think about someone who is passionate about what they're teaching. 
I think about a tenured individual.",4,2,NA,I feel like it is much more personal. It fits my experiences because i feel like teachers are supposed to help students grow and learn.,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,24,1,NA,0,no,no,tourguide,The teacher is the tour guide because they have all the information. The students are tourists because they are there to learn and leave.,70,42,1,69,68,n/a,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,7,7,4,1,NA,NA,NA,NA,NA
